time,lat,lon,value
1246983069,37.854127,-122.271887,0.013
1246983070,37.854122,-122.271967,0.014
1246983071,37.854098,-122.272035,0.009
1246983072,37.854062,-122.272105,0.016
1246983073,37.854053,-122.272187,0.016
1246983074,37.854037,-122.272273,0.013
1246983075,37.854035,-122.272362,0.015
1246983076,37.854022,-122.272432,0.012
1246983077,37.853970,-122.272497,0.017
1246983078,37.853922,-122.272568,0.015
1246983079,37.853905,-122.272658,0.016
1246983080,37.853882,-122.272730,0.015
1246983081,37.853840,-122.272805,0.013
1246983082,37.853827,-122.272893,0.014
1246983083,37.853838,-122.272980,0.012
1246983084,37.853840,-122.273065,0.013
1246983085,37.853840,-122.273140,0.012
1246983086,37.853845,-122.273203,0.012
1246983087,37.853888,-122.273278,0.014
1246983088,37.853885,-122.273353,0.012
1246983089,37.853898,-122.273433,0.012
1246983090,37.853900,-122.273503,0.012
1246983091,37.853882,-122.273560,0.014
1246983092,37.853852,-122.273620,0.012
1246983093,37.853820,-122.273675,0.013
1246983094,37.853785,-122.273723,0.015
1246983095,37.853800,-122.273778,0.014
1246983096,37.853822,-122.273842,0.014
1246983097,37.853842,-122.273895,0.012
1246983098,37.853848,-122.273938,0.014
1246983099,37.853873,-122.273983,0.013
1246983100,37.853888,-122.274007,0.015
1246983101,37.853897,-122.274015,0.018
1246983102,37.853918,-122.274018,0.016
1246983103,37.853927,-122.274023,0.016
1246983104,37.853925,-122.274030,0.022
1246983105,37.853925,-122.274030,0.021
1246983106,37.853925,-122.274030,0.019
1246983107,37.853925,-122.274030,0.015
1246983108,37.853925,-122.274030,0.011
1246983109,37.853925,-122.274030,0.013
1246983110,37.853925,-122.274030,0.013
1246983111,37.853925,-122.274030,0.013
1246983112,37.853925,-122.274030,0.013
1246983113,37.853925,-122.274030,0.015
1246983114,37.853925,-122.274030,0.016
1246983115,37.853925,-122.274030,0.017
1246983116,37.853925,-122.274030,0.014
1246983117,37.853925,-122.274030,0.016
1246983118,37.853925,-122.274030,0.013
1246983119,37.853925,-122.274030,0.012
1246983120,37.853838,-122.274023,0.012
1246983121,37.853848,-122.274072,0.012
1246983122,37.853850,-122.274110,0.014
1246983123,37.853837,-122.274165,0.015
1246983124,37.853823,-122.274207,0.013
1246983125,37.853818,-122.274265,0.012
1246983126,37.853803,-122.274330,0.011
1246983127,37.853788,-122.274388,0.015
1246983128,37.853777,-122.274465,0.012
1246983129,37.853770,-122.274543,0.015
1246983130,37.853775,-122.274637,0.017
1246983131,37.853750,-122.274710,0.012
1246983132,37.853752,-122.274802,0.012
1246983133,37.853752,-122.274895,0.012
1246983134,37.853750,-122.274983,0.011
1246983135,37.853738,-122.275065,0.014
1246983136,37.853725,-122.275138,0.015
1246983137,37.853713,-122.275213,0.016
1246983138,37.853712,-122.275277,0.016
1246983139,37.853712,-122.275355,0.015
1246983140,37.853703,-122.275430,0.015
1246983141,37.853698,-122.275508,0.012
1246983142,37.853695,-122.275583,0.012
1246983143,37.853690,-122.275667,0.015
1246983144,37.853687,-122.275745,0.016
1246983145,37.853683,-122.275837,0.014
1246983146,37.853678,-122.275927,0.014
1246983147,37.853663,-122.276007,0.013
1246983148,37.853655,-122.276087,0.014
1246983149,37.853655,-122.276175,0.017
1246983150,37.853647,-122.276258,0.012
1246983151,37.853628,-122.276328,0.013
1246983152,37.853615,-122.276415,0.014
1246983153,37.853603,-122.276495,0.012
1246983154,37.853588,-122.276572,0.011
1246983155,37.853572,-122.276637,0.013
1246983156,37.853553,-122.276698,0.013
1246983157,37.853543,-122.276773,0.014
1246983158,37.853522,-122.276838,0.012
1246983159,37.853512,-122.276915,0.013
1246983160,37.853515,-122.276988,0.015
1246983161,37.853520,-122.277080,0.013
1246983162,37.853512,-122.277153,0.014
1246983163,37.853503,-122.277217,0.024
1246983164,37.853490,-122.277282,0.012
1246983165,37.853483,-122.277355,0.011
1246983166,37.853468,-122.277418,0.010
1246983167,37.853458,-122.277495,0.012
1246983168,37.853450,-122.277560,0.013
1246983169,37.853433,-122.277618,0.011
1246983170,37.853420,-122.277672,0.011
1246983171,37.853403,-122.277727,0.012
1246983172,37.853387,-122.277787,0.014
1246983173,37.853372,-122.277850,0.013
1246983174,37.853363,-122.277918,0.013
1246983175,37.853348,-122.277977,0.015
1246983176,37.853337,-122.278028,0.015
1246983177,37.853342,-122.278103,0.015
1246983178,37.853340,-122.278180,0.017
1246983179,37.853328,-122.278263,0.013
1246983180,37.853315,-122.278340,0.016
1246983181,37.853312,-122.278430,0.014
1246983182,37.853290,-122.278500,0.013
1246983183,37.853282,-122.278577,0.014
1246983184,37.853278,-122.278657,0.015
1246983185,37.853277,-122.278725,0.012
1246983186,37.853268,-122.278788,0.012
1246983187,37.853258,-122.278848,0.014
1246983188,37.853235,-122.278900,0.012
1246983189,37.853222,-122.278967,0.012
1246983190,37.853222,-122.279030,0.013
1246983191,37.853223,-122.279098,0.012
1246983192,37.853227,-122.279170,0.014
1246983193,37.853225,-122.279245,0.016
1246983194,37.853215,-122.279308,0.011
1246983195,37.853212,-122.279373,0.013
1246983196,37.853218,-122.279452,0.011
1246983197,37.853218,-122.279527,0.010
1246983198,37.853222,-122.279607,0.010
1246983199,37.853225,-122.279675,0.015
1246983200,37.853215,-122.279730,0.014
1246983201,37.853213,-122.279805,0.012
1246983202,37.853215,-122.279882,0.012
1246983203,37.853210,-122.279953,0.014
1246983204,37.853205,-122.280023,0.011
1246983205,37.853190,-122.280073,0.014
1246983206,37.853170,-122.280135,0.013
1246983207,37.853165,-122.280212,0.013
1246983208,37.853158,-122.280282,0.013
1246983209,37.853157,-122.280350,0.014
1246983210,37.853165,-122.280433,0.014
1246983211,37.853175,-122.280507,0.012
1246983212,37.853183,-122.280582,0.014
1246983213,37.853190,-122.280648,0.016
1246983214,37.853197,-122.280713,0.013
1246983215,37.853193,-122.280787,0.011
1246983216,37.853197,-122.280868,0.014
1246983217,37.853192,-122.280933,0.012
1246983218,37.853187,-122.281000,0.013
1246983219,37.853182,-122.281073,0.013
1246983220,37.853175,-122.281132,0.013
1246983221,37.853180,-122.281198,0.015
1246983222,37.853173,-122.281265,0.015
1246983223,37.853172,-122.281325,0.014
1246983224,37.853165,-122.281388,0.013
1246983225,37.853155,-122.281450,0.015
1246983226,37.853152,-122.281512,0.013
1246983227,37.853138,-122.281562,0.015
1246983228,37.853125,-122.281617,0.015
1246983229,37.853108,-122.281673,0.015
1246983230,37.853095,-122.281742,0.013
1246983231,37.853077,-122.281803,0.014
1246983232,37.853063,-122.281868,0.014
1246983233,37.853057,-122.281942,0.013
1246983234,37.853055,-122.282013,0.013
1246983235,37.853050,-122.282085,0.012
1246983236,37.853035,-122.282153,0.013
1246983237,37.853013,-122.282215,0.014
1246983238,37.853000,-122.282282,0.012
1246983239,37.852990,-122.282352,0.015
1246983240,37.852960,-122.282413,0.012
1246983241,37.852933,-122.282478,0.015
1246983242,37.852918,-122.282543,0.015
1246983243,37.852893,-122.282605,0.013
1246983244,37.852880,-122.282675,0.015
1246983245,37.852870,-122.282743,0.015
1246983246,37.852853,-122.282813,0.013
1246983247,37.852835,-122.282878,0.013
1246983248,37.852805,-122.282937,0.013
1246983249,37.852793,-122.283003,0.012
1246983250,37.852782,-122.283073,0.014
1246983251,37.852773,-122.283137,0.014
1246983252,37.852772,-122.283198,0.013
1246983253,37.852763,-122.283263,0.014
1246983254,37.852740,-122.283330,0.012
1246983255,37.852740,-122.283410,0.019
1246983256,37.852737,-122.283488,0.014
1246983257,37.852728,-122.283550,0.015
