id,badge_id,time,lat,lon,value
42234,000000000005,1238462065,37.80606084,-122.23911532,9.64583333333
42236,000000000005,1238462075,37.8050219333,-122.23747397,10.2083333333
42238,000000000005,1238462085,37.80361944,-122.23403412,12.0208333333
42240,000000000005,1238462095,37.8024152667,-122.23157527,7.27083333333
42245,000000000005,1238462115,37.7998086,-122.22567657,2.125
42249,000000000005,1238462135,37.7972019333,-122.21977787,0.833333333333
42253,000000000005,1238462155,37.7945952667,-122.21387917,0.645833333333
42258,000000000005,1238462175,37.7919886,-122.20798047,0.333333333333
42262,000000000005,1238462195,None,None,0.229166666667
42266,000000000005,1238462215,None,None,0.645833333333
42251,000000000005,1238462145,37.79124812,-122.2189248,0.458333333333
42256,000000000005,1238462165,37.7899332533,-122.2124438,0.625
42260,000000000005,1238462185,37.7886183867,-122.2059628,1.5
42264,000000000005,1238462205,37.78730352,-122.1994818,0.0833333333333
42269,000000000005,1238462225,37.7859886533,-122.1930008,0.3125
42273,000000000005,1238462245,37.7846737867,-122.1865198,0.1875
42277,000000000005,1238462265,37.78335892,-122.1800388,0.104166666667
42266,000000000005,1238462215,37.79192425,-122.1941705,0.645833333333
42271,000000000005,1238462235,37.78890675,-122.1883575,0.854166666667
42275,000000000005,1238462255,37.78588925,-122.1825445,0
42279,000000000005,1238462275,37.78287175,-122.1767315,0.270833333333
42284,000000000005,1238462295,37.77985425,-122.1709185,2.16666666667
42288,000000000005,1238462315,37.77683675,-122.1651055,0.541666666667
42292,000000000005,1238462335,37.77381925,-122.1592925,0.291666666667
42282,000000000005,1238462285,37.7859929067,-122.168075447,1.52083333333
42286,000000000005,1238462305,37.7811946733,-122.164473813,1.5
42290,000000000005,1238462325,37.77639644,-122.16087218,1.33333333333
42295,000000000005,1238462345,37.7715982067,-122.157270547,1.83333333333
42299,000000000005,1238462365,37.7667999733,-122.153668913,0.270833333333
42303,000000000005,1238462385,37.76200174,-122.15006728,0
42295,000000000005,1238462345,37.7715982067,-122.157270547,1.83333333333
42299,000000000005,1238462365,37.7667999733,-122.153668913,0.270833333333
42303,000000000005,1238462385,37.76200174,-122.15006728,0
42308,000000000005,1238462405,37.75713408,-122.147899233,1.25
42312,000000000005,1238462425,37.75216228,-122.147881567,0
42316,000000000005,1238462445,37.74719048,-122.1478639,0
42308,000000000005,1238462405,37.75713408,-122.147899233,1.25
42312,000000000005,1238462425,37.75216228,-122.147881567,0
42316,000000000005,1238462445,37.74719048,-122.1478639,0
42321,000000000005,1238462465,37.74224996,-122.14656182,1.39583333333
42325,000000000005,1238462485,37.73735636,-122.14333312,0
42329,000000000005,1238462505,37.73246276,-122.14010442,0
42321,000000000005,1238462465,37.74224996,-122.14656182,1.39583333333
42325,000000000005,1238462485,37.73735636,-122.14333312,0
42329,000000000005,1238462505,37.73246276,-122.14010442,0
42334,000000000005,1238462525,37.7275179733,-122.137230787,0.0208333333333
42338,000000000005,1238462545,37.7224964067,-122.134889753,0
42342,000000000005,1238462565,37.71747484,-122.13254872,1.75
42334,000000000005,1238462525,37.7275179733,-122.137230787,0.0208333333333
42338,000000000005,1238462545,37.7224964067,-122.134889753,0
42342,000000000005,1238462565,37.71747484,-122.13254872,1.75
42347,000000000005,1238462585,37.7131170333,-122.129027473,2.29166666667
42351,000000000005,1238462605,37.7097548667,-122.123735907,0.125
42355,000000000005,1238462625,37.7063927,-122.11844434,0.1875
42347,000000000005,1238462585,37.7131170333,-122.129027473,2.29166666667
42351,000000000005,1238462605,37.7097548667,-122.123735907,0.125
42355,000000000005,1238462625,37.7063927,-122.11844434,0.1875
42360,000000000005,1238462644,37.703081823,-122.1137609,1.33333333333
42364,000000000005,1238462664,37.6993858885,-122.1094509,0.25
42368,000000000005,1238462684,37.6956899541,-122.1051409,0.0416666666667
42360,000000000005,1238462644,37.703081823,-122.1137609,1.33333333333
42364,000000000005,1238462664,37.6993858885,-122.1094509,0.25
42368,000000000005,1238462684,37.6956899541,-122.1051409,0.0416666666667
42373,000000000005,1238462705,37.6928102117,-122.10015438,1.1875
42377,000000000005,1238462725,37.691974245,-122.09452718,0
42381,000000000005,1238462745,37.6911382783,-122.08889998,0
